date,date,value,5. volume
1970-01-01 00:00:00.000000000,2025-06-01,3.02,0
1970-01-01 00:00:00.000000001,2025-05-01,3.12,0
1970-01-01 00:00:00.000000002,2025-04-01,3.42,0
1970-01-01 00:00:00.000000003,2025-03-01,4.12,0
1970-01-01 00:00:00.000000004,2025-02-01,4.19,0
1970-01-01 00:00:00.000000005,2025-01-01,4.13,0
1970-01-01 00:00:00.000000006,2024-12-01,3.01,0
1970-01-01 00:00:00.000000007,2024-11-01,2.12,0
1970-01-01 00:00:00.000000008,2024-10-01,2.2,0
1970-01-01 00:00:00.000000009,2024-09-01,2.28,0
1970-01-01 00:00:00.000000010,2024-08-01,1.99,0
1970-01-01 00:00:00.000000011,2024-07-01,2.07,0
1970-01-01 00:00:00.000000012,2024-06-01,2.54,0
1970-01-01 00:00:00.000000013,2024-05-01,2.12,0
1970-01-01 00:00:00.000000014,2024-04-01,1.6,0
1970-01-01 00:00:00.000000015,2024-03-01,1.49,0
1970-01-01 00:00:00.000000016,2024-02-01,1.72,0
1970-01-01 00:00:00.000000017,2024-01-01,3.18,0
1970-01-01 00:00:00.000000018,2023-12-01,2.52,0
1970-01-01 00:00:00.000000019,2023-11-01,2.71,0
1970-01-01 00:00:00.000000020,2023-10-01,2.98,0
1970-01-01 00:00:00.000000021,2023-09-01,2.64,0
1970-01-01 00:00:00.000000022,2023-08-01,2.58,0
1970-01-01 00:00:00.000000023,2023-07-01,2.55,0
1970-01-01 00:00:00.000000024,2023-06-01,2.18,0
1970-01-01 00:00:00.000000025,2023-05-01,2.15,0
1970-01-01 00:00:00.000000026,2023-04-01,2.16,0
1970-01-01 00:00:00.000000027,2023-03-01,2.31,0
1970-01-01 00:00:00.000000028,2023-02-01,2.38,0
1970-01-01 00:00:00.000000029,2023-01-01,3.27,0
1970-01-01 00:00:00.000000030,2022-12-01,5.53,0
1970-01-01 00:00:00.000000031,2022-11-01,5.45,0
1970-01-01 00:00:00.000000032,2022-10-01,5.66,0
1970-01-01 00:00:00.000000033,2022-09-01,7.88,0
1970-01-01 00:00:00.000000034,2022-08-01,8.81,0
1970-01-01 00:00:00.000000035,2022-07-01,7.28,0
1970-01-01 00:00:00.000000036,2022-06-01,7.7,0
1970-01-01 00:00:00.000000037,2022-05-01,8.14,0
1970-01-01 00:00:00.000000038,2022-04-01,6.6,0
1970-01-01 00:00:00.000000039,2022-03-01,4.9,0
1970-01-01 00:00:00.000000040,2022-02-01,4.69,0
1970-01-01 00:00:00.000000041,2022-01-01,4.38,0
1970-01-01 00:00:00.000000042,2021-12-01,3.76,0
1970-01-01 00:00:00.000000043,2021-11-01,5.05,0
1970-01-01 00:00:00.000000044,2021-10-01,5.51,0
1970-01-01 00:00:00.000000045,2021-09-01,5.16,0
1970-01-01 00:00:00.000000046,2021-08-01,4.07,0
1970-01-01 00:00:00.000000047,2021-07-01,3.84,0
1970-01-01 00:00:00.000000048,2021-06-01,3.26,0
1970-01-01 00:00:00.000000049,2021-05-01,2.91,0
1970-01-01 00:00:00.000000050,2021-04-01,2.66,0
1970-01-01 00:00:00.000000051,2021-03-01,2.62,0
1970-01-01 00:00:00.000000052,2021-02-01,5.35,0
1970-01-01 00:00:00.000000053,2021-01-01,2.71,0
1970-01-01 00:00:00.000000054,2020-12-01,2.58,0
1970-01-01 00:00:00.000000055,2020-11-01,2.61,0
1970-01-01 00:00:00.000000056,2020-10-01,2.39,0
1970-01-01 00:00:00.000000057,2020-09-01,1.92,0
1970-01-01 00:00:00.000000058,2020-08-01,2.3,0
1970-01-01 00:00:00.000000059,2020-07-01,1.76,0
1970-01-01 00:00:00.000000060,2020-06-01,1.63,0
1970-01-01 00:00:00.000000061,2020-05-01,1.75,0
1970-01-01 00:00:00.000000062,2020-04-01,1.74,0
1970-01-01 00:00:00.000000063,2020-03-01,1.79,0
1970-01-01 00:00:00.000000064,2020-02-01,1.91,0
1970-01-01 00:00:00.000000065,2020-01-01,2.02,0
1970-01-01 00:00:00.000000066,2019-12-01,2.22,0
1970-01-01 00:00:00.000000067,2019-11-01,2.65,0
1970-01-01 00:00:00.000000068,2019-10-01,2.33,0
1970-01-01 00:00:00.000000069,2019-09-01,2.56,0
1970-01-01 00:00:00.000000070,2019-08-01,2.22,0
1970-01-01 00:00:00.000000071,2019-07-01,2.37,0
1970-01-01 00:00:00.000000072,2019-06-01,2.4,0
1970-01-01 00:00:00.000000073,2019-05-01,2.64,0
1970-01-01 00:00:00.000000074,2019-04-01,2.65,0
1970-01-01 00:00:00.000000075,2019-03-01,2.95,0
1970-01-01 00:00:00.000000076,2019-02-01,2.69,0
1970-01-01 00:00:00.000000077,2019-01-01,3.11,0
1970-01-01 00:00:00.000000078,2018-12-01,4.04,0
1970-01-01 00:00:00.000000079,2018-11-01,4.09,0
1970-01-01 00:00:00.000000080,2018-10-01,3.28,0
1970-01-01 00:00:00.000000081,2018-09-01,3.0,0
1970-01-01 00:00:00.000000082,2018-08-01,2.96,0
1970-01-01 00:00:00.000000083,2018-07-01,2.83,0
1970-01-01 00:00:00.000000084,2018-06-01,2.97,0
1970-01-01 00:00:00.000000085,2018-05-01,2.8,0
1970-01-01 00:00:00.000000086,2018-04-01,2.8,0
1970-01-01 00:00:00.000000087,2018-03-01,2.69,0
1970-01-01 00:00:00.000000088,2018-02-01,2.67,0
1970-01-01 00:00:00.000000089,2018-01-01,3.87,0
1970-01-01 00:00:00.000000090,2017-12-01,2.82,0
1970-01-01 00:00:00.000000091,2017-11-01,3.01,0
1970-01-01 00:00:00.000000092,2017-10-01,2.88,0
1970-01-01 00:00:00.000000093,2017-09-01,2.98,0
1970-01-01 00:00:00.000000094,2017-08-01,2.9,0
1970-01-01 00:00:00.000000095,2017-07-01,2.98,0
1970-01-01 00:00:00.000000096,2017-06-01,2.98,0
1970-01-01 00:00:00.000000097,2017-05-01,3.15,0
1970-01-01 00:00:00.000000098,2017-04-01,3.1,0
1970-01-01 00:00:00.000000099,2017-03-01,2.88,0
1970-01-01 00:00:00.000000100,2017-02-01,2.85,0
1970-01-01 00:00:00.000000101,2017-01-01,3.3,0
1970-01-01 00:00:00.000000102,2016-12-01,3.59,0
1970-01-01 00:00:00.000000103,2016-11-01,2.55,0
1970-01-01 00:00:00.000000104,2016-10-01,2.98,0
1970-01-01 00:00:00.000000105,2016-09-01,2.99,0
1970-01-01 00:00:00.000000106,2016-08-01,2.82,0
1970-01-01 00:00:00.000000107,2016-07-01,2.82,0
1970-01-01 00:00:00.000000108,2016-06-01,2.59,0
1970-01-01 00:00:00.000000109,2016-05-01,1.92,0
1970-01-01 00:00:00.000000110,2016-04-01,1.92,0
1970-01-01 00:00:00.000000111,2016-03-01,1.73,0
1970-01-01 00:00:00.000000112,2016-02-01,1.99,0
1970-01-01 00:00:00.000000113,2016-01-01,2.28,0
1970-01-01 00:00:00.000000114,2015-12-01,1.93,0
1970-01-01 00:00:00.000000115,2015-11-01,2.09,0
1970-01-01 00:00:00.000000116,2015-10-01,2.34,0
1970-01-01 00:00:00.000000117,2015-09-01,2.66,0
1970-01-01 00:00:00.000000118,2015-08-01,2.77,0
1970-01-01 00:00:00.000000119,2015-07-01,2.84,0
1970-01-01 00:00:00.000000120,2015-06-01,2.78,0
1970-01-01 00:00:00.000000121,2015-05-01,2.85,0
1970-01-01 00:00:00.000000122,2015-04-01,2.61,0
1970-01-01 00:00:00.000000123,2015-03-01,2.83,0
1970-01-01 00:00:00.000000124,2015-02-01,2.87,0
1970-01-01 00:00:00.000000125,2015-01-01,2.99,0
1970-01-01 00:00:00.000000126,2014-12-01,3.48,0
1970-01-01 00:00:00.000000127,2014-11-01,4.12,0
1970-01-01 00:00:00.000000128,2014-10-01,3.78,0
1970-01-01 00:00:00.000000129,2014-09-01,3.92,0
1970-01-01 00:00:00.000000130,2014-08-01,3.91,0
1970-01-01 00:00:00.000000131,2014-07-01,4.05,0
1970-01-01 00:00:00.000000132,2014-06-01,4.59,0
1970-01-01 00:00:00.000000133,2014-05-01,4.58,0
1970-01-01 00:00:00.000000134,2014-04-01,4.66,0
1970-01-01 00:00:00.000000135,2014-03-01,4.90,0
1970-01-01 00:00:00.000000136,2014-02-01,6.00,0
1970-01-01 00:00:00.000000137,2014-01-01,4.71,0
1970-01-01 00:00:00.000000138,2013-12-01,4.24,0
1970-01-01 00:00:00.000000139,2013-11-01,3.64,0
1970-01-01 00:00:00.000000140,2013-10-01,3.68,0
1970-01-01 00:00:00.000000141,2013-09-01,3.62,0
1970-01-01 00:00:00.000000142,2013-08-01,3.43,0
1970-01-01 00:00:00.000000143,2013-07-01,3.62,0
1970-01-01 00:00:00.000000144,2013-06-01,3.83,0
1970-01-01 00:00:00.000000145,2013-05-01,4.04,0
1970-01-01 00:00:00.000000146,2013-04-01,4.17,0
1970-01-01 00:00:00.000000147,2013-03-01,3.81,0
1970-01-01 00:00:00.000000148,2013-02-01,3.33,0
1970-01-01 00:00:00.000000149,2013-01-01,3.33,0
